1,1,acquired abnormality,location of,experimental model of disease
0,1,acquired abnormality,location of,fungus
1,2,anatomical abnormality,manifestation of,physiologic function
0,2,anatomical abnormality,manifestation of,gene or genome
1,3,alga,is a,entity
0,3,gene or genome,is a,entity
1,4,mental or behavioral dysfunction,affects,experimental model of disease
0,4,plant,affects,experimental model of disease
1,5,health care activity,associated with,anatomical abnormality
0,5,health care activity,associated with,invertebrate
1,6,population group,interacts with,age group
0,6,sign or symptom,interacts with,age group
1,7,clinical attribute,result of,natural phenomenon or process
0,7,language,result of,natural phenomenon or process
1,1,body part organ or organ component,location of,biologic function
0,1,body part organ or organ component,location of,experimental model of disease
1,8,biologically active substance,complicates,anatomical abnormality
0,8,archaeon,complicates,anatomical abnormality
1,7,disease or syndrome,result of,acquired abnormality
0,7,organic chemical,result of,acquired abnormality
1,6,carbohydrate,interacts with,vitamin
0,6,enzyme,interacts with,vitamin
1,3,molecular sequence,is a,spatial concept
0,3,organism function,is a,spatial concept
1,4,steroid,affects,mental process
0,4,steroid,affects,human
1,9,experimental model of disease,occurs in,professional or occupational group
0,9,experimental model of disease,occurs in,research device
1,10,patient or disabled group,uses,clinical drug
0,10,quantitative concept,uses,clinical drug
1,11,professional or occupational group,produces,clinical drug
0,11,professional or occupational group,produces,qualitative concept
1,3,nucleic acid nucleoside or nucleotide,is a,chemical viewed structurally
0,3,vitamin,is a,chemical viewed structurally
1,12,organism function,degree of,mental process
0,12,organism function,degree of,bird
1,4,steroid,affects,cell or molecular dysfunction
0,4,plant,affects,cell or molecular dysfunction
1,13,body part organ or organ component,connected to,body substance
0,13,chemical,connected to,body substance
1,7,mental process,result of,human caused phenomenon or process
0,7,mental process,result of,organic chemical
1,14,experimental model of disease,process of,archaeon
0,14,organic chemical,process of,archaeon
1,4,therapeutic or preventive procedure,affects,organ or tissue function
0,4,family group,affects,organ or tissue function
1,6,carbohydrate,interacts with,pharmacologic substance
0,6,enzyme,interacts with,pharmacologic substance
1,15,cell function,co-occurs with,physiologic function
0,15,governmental or regulatory activity,co-occurs with,physiologic function
1,14,pathologic function,process of,physiologic function
0,14,pathologic function,process of,idea or concept
1,7,mental or behavioral dysfunction,result of,anatomical abnormality
0,7,chemical,result of,anatomical abnormality
1,14,organ or tissue function,process of,cell function
0,14,acquired abnormality,process of,cell function
1,16,enzyme,disrupts,fully formed anatomical structure
